POA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
POA6000,47,129,181,6,29,34,7,63,74,12,129,143,24,160,183,34,144,180,76,138,209,92,190,285,106,279,385,142,265,406,121,268,390,158,257,414,364,537,902,268,62,330,251,186,432,190,35,221,595,279,873,245,109,352,16,38,57,2755,3305,6064
POA6003,7,32,37,0,5,11,0,27,31,3,40,44,9,57,72,5,42,52,18,32,54,23,59,80,35,95,130,51,87,138,37,76,110,41,76,120,95,127,219,101,25,128,69,44,111,43,15,59,160,48,205,74,37,112,4,11,21,790,933,1724
POA6004,47,116,161,10,20,26,16,60,77,8,110,119,24,170,197,26,144,169,70,106,173,80,148,229,124,232,358,157,207,372,136,240,376,147,186,330,358,414,776,249,48,304,258,142,400,163,23,183,688,252,941,217,92,312,11,34,49,2817,2748,5564
POA6005,16,44,66,4,15,19,8,45,51,5,90,94,7,105,110,17,92,107,29,72,100,41,114,153,33,130,162,63,147,206,57,125,183,67,125,194,148,208,361,132,25,158,124,71,200,100,14,112,323,165,491,93,56,152,3,28,31,1287,1661,2949
POA6006,21,42,60,3,17,22,6,35,38,10,87,95,23,124,152,24,107,131,59,82,140,64,84,154,112,99,209,98,97,197,81,108,192,83,88,169,214,206,416,219,37,259,211,70,282,170,18,182,838,111,948,149,66,214,14,21,36,2398,1483,3883
POA6007,18,25,47,7,9,12,10,24,28,9,51,55,16,102,125,24,98,123,38,76,112,47,88,135,53,100,154,97,110,205,63,113,173,80,90,171,191,221,411,186,31,213,170,66,237,130,25,150,752,150,894,154,55,208,3,14,18,2035,1448,3478
POA6008,38,70,108,12,37,48,9,77,84,16,173,187,29,283,315,49,213,260,97,150,247,104,164,277,145,198,349,163,197,363,112,223,333,186,148,337,388,337,721,299,32,338,299,106,397,252,21,280,1571,267,1840,289,41,331,20,54,67,4075,2790,6864
POA6009,55,85,141,18,39,55,29,45,67,12,80,96,40,125,163,34,177,207,94,106,198,121,124,245,173,140,315,183,113,295,145,108,248,180,92,272,358,177,540,257,24,279,237,61,297,174,11,184,2028,181,2210,339,63,405,22,22,53,4505,1773,6274
POA6010,41,76,116,28,40,72,16,57,72,18,125,142,39,267,310,51,204,256,111,143,254,137,168,308,147,174,319,218,149,371,144,131,278,186,120,305,362,214,579,307,19,323,304,77,380,265,4,267,2034,174,2214,392,51,446,26,65,92,4832,2264,7093
POA6011,25,35,59,13,9,22,9,19,28,0,42,43,20,55,78,20,63,81,37,53,81,43,63,102,56,77,134,67,55,123,47,57,101,70,53,124,151,126,275,124,5,136,132,51,187,113,6,117,1258,166,1425,227,36,263,19,20,40,2435,979,3415
POA6012,27,43,69,15,18,33,8,57,67,11,87,101,29,176,201,31,122,148,40,88,130,67,100,169,86,103,188,88,91,178,76,72,146,87,43,127,154,104,257,125,11,143,164,25,193,88,4,90,942,71,1016,209,20,225,15,26,40,2247,1272,3520
POA6014,38,71,115,27,30,56,23,65,88,13,122,136,51,263,313,65,260,329,127,207,341,152,213,364,232,265,493,304,216,516,219,166,388,254,112,372,480,230,710,405,20,429,409,56,464,299,9,309,2300,119,2415,397,46,443,25,45,77,5827,2530,8358
POA6015,15,18,34,10,3,12,0,8,14,4,26,29,12,50,61,10,41,49,33,33,65,42,34,70,67,39,101,62,30,91,37,21,56,55,18,70,101,42,138,91,0,96,98,9,110,72,4,75,951,41,998,174,4,181,19,20,39,1857,448,2309
POA6016,20,33,53,6,16,23,8,45,58,9,73,84,34,159,191,35,113,144,76,70,144,75,83,154,115,103,221,112,91,205,108,75,185,104,83,181,314,136,448,256,21,285,268,37,307,186,14,197,928,68,997,168,23,191,14,28,41,2843,1265,4109
POA6017,15,21,34,0,11,12,0,31,34,3,71,77,16,141,154,16,72,92,49,61,117,52,76,127,71,110,183,99,108,206,85,91,177,86,57,133,175,117,288,112,7,117,80,20,96,65,3,70,85,21,109,69,19,87,9,20,28,1085,1056,2146
POA6018,100,152,251,41,58,98,53,174,227,39,306,347,139,718,857,142,398,538,355,320,672,399,297,697,465,346,808,522,302,824,392,320,707,445,263,710,1073,515,1586,1001,77,1076,1020,159,1178,767,46,806,3179,260,3437,932,155,1084,67,117,187,11117,4983,16105
POA6019,48,101,145,20,44,60,18,85,105,21,137,162,58,310,365,83,267,353,161,221,385,177,242,421,284,284,565,311,297,607,233,237,470,261,235,495,632,511,1145,520,61,582,602,162,766,406,31,441,1800,249,2056,582,190,776,48,48,97,6262,3717,9981
POA6020,46,57,105,35,36,71,32,76,109,12,90,100,94,257,347,79,190,262,207,137,347,244,124,371,306,125,430,314,106,420,209,79,288,258,69,324,597,135,732,439,8,448,527,44,570,402,4,408,2043,80,2127,480,30,512,51,51,106,6385,1703,8083
POA6021,78,79,156,20,29,50,31,100,134,31,173,201,107,447,550,90,200,282,338,141,481,259,152,418,294,215,503,334,176,515,267,162,428,293,146,441,688,197,879,522,23,553,463,50,513,323,9,330,1100,67,1166,437,39,476,70,80,147,5730,2492,8218
POA6022,7,14,23,5,0,4,5,13,13,5,22,26,17,82,99,21,46,71,64,36,100,82,43,120,101,43,144,96,37,134,82,34,120,81,16,97,186,46,228,167,0,164,128,9,133,91,0,91,221,3,230,137,9,148,13,10,18,1519,464,1981
POA6023,38,28,69,21,26,41,18,33,49,12,49,67,60,166,225,56,111,164,137,85,222,151,90,237,220,73,287,237,56,296,183,73,256,171,40,215,439,72,512,395,4,399,484,28,511,311,0,315,1168,31,1199,384,22,405,44,31,69,4532,1006,5543
POA6024,27,38,67,20,17,33,18,38,57,25,88,117,62,192,254,54,130,177,177,82,261,175,98,282,253,99,351,267,99,364,184,69,255,193,75,267,459,97,556,434,9,446,356,28,382,270,3,279,566,36,600,353,28,380,20,31,52,3911,1256,5168
POA6025,71,82,156,32,31,61,43,72,117,38,158,200,127,335,462,132,256,390,398,185,584,388,192,582,481,220,699,507,192,703,396,169,561,408,142,546,1020,242,1258,891,32,920,793,55,847,587,14,603,1924,55,1978,853,65,925,79,61,144,9163,2561,11726
POA6026,57,65,119,31,22,54,21,47,65,18,84,107,90,312,399,67,235,297,304,116,419,277,122,397,352,134,486,371,98,462,289,69,364,291,72,364,702,138,839,688,16,700,638,28,668,446,5,448,1298,32,1327,566,17,582,48,44,87,6552,1639,8195
POA6027,95,129,227,51,40,86,40,80,117,64,219,285,162,517,678,159,333,496,507,250,754,512,304,819,617,346,961,672,286,957,577,247,826,618,211,828,1389,349,1735,1169,53,1219,1191,87,1280,730,22,750,2053,94,2150,1233,87,1321,98,84,184,11922,3746,15667
POA6028,56,36,96,25,12,35,22,29,52,24,57,81,62,118,178,71,126,199,222,64,292,202,76,279,273,94,367,308,75,386,275,90,365,273,64,339,714,96,814,648,9,657,649,33,679,487,4,491,1705,43,1746,740,20,761,62,20,82,6810,1068,7877
POA6029,4,3,11,0,4,7,5,11,11,0,3,6,7,35,37,6,36,40,24,13,43,20,15,33,27,12,42,36,14,50,20,8,33,20,10,31,60,14,73,57,3,57,48,8,53,53,0,52,314,12,324,64,13,75,13,8,19,781,217,1001
POA6030,93,100,192,33,44,76,37,101,134,59,193,253,152,493,642,210,318,535,569,207,781,569,271,845,621,297,920,755,243,999,581,224,803,625,176,804,1426,249,1678,1090,26,1117,912,56,971,546,13,564,1459,59,1521,1248,60,1309,123,92,218,11108,3235,14343
POA6031,46,30,70,15,10,26,18,19,39,18,43,57,58,93,150,75,53,132,166,57,224,182,102,282,230,118,350,309,116,420,270,82,354,321,67,386,765,102,867,571,8,584,491,26,522,270,4,271,617,32,651,589,25,615,50,24,73,5050,1022,6071
POA6032,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,11,3,15,3,0,3,0,0,3,4,0,4,3,0,3,6,0,9,5,0,5,5,0,11,5,0,3,0,0,0,49,18,67
POA6033,3,0,3,0,0,0,0,0,7,0,3,3,0,3,0,0,0,0,3,0,3,6,0,8,0,0,0,6,0,11,3,0,3,4,0,4,9,3,13,15,0,15,9,0,9,13,0,13,23,0,23,14,0,14,5,0,5,113,21,131
POA6034,3,4,15,3,0,3,0,0,0,3,6,16,10,19,25,21,11,37,29,0,38,29,16,42,53,26,85,67,25,88,71,31,103,69,15,91,200,26,223,110,6,113,89,4,98,39,0,39,76,0,75,141,4,142,11,8,19,1027,206,1237
POA6035,31,27,62,3,12,12,7,25,35,15,48,68,45,130,177,75,84,163,174,36,209,157,65,221,170,69,232,205,67,273,146,47,195,151,41,191,406,74,480,257,9,266,228,18,241,120,0,122,253,16,268,457,10,472,27,26,55,2926,809,3740
POA6036,43,47,85,12,13,24,15,43,58,33,78,108,77,148,222,91,116,204,194,84,284,199,116,314,251,143,395,294,108,408,253,89,341,272,85,362,623,108,733,492,17,503,393,28,422,243,4,247,593,34,627,602,30,633,38,22,59,4717,1310,6024
POA6037,13,12,25,4,4,10,14,12,26,13,32,39,18,55,75,22,32,53,72,21,94,37,31,68,55,35,92,58,13,63,50,19,69,48,29,77,105,28,127,82,8,85,52,7,61,41,0,41,99,5,105,198,3,197,15,14,27,992,355,1350
POA6038,23,17,42,4,7,9,10,7,22,14,28,42,27,47,71,47,37,87,97,33,132,100,71,165,128,94,219,184,92,274,176,66,248,153,47,206,400,85,486,344,7,353,284,15,298,143,3,144,292,16,300,365,12,381,22,20,35,2816,710,3521
POA6041,0,7,7,0,0,0,0,4,3,3,18,24,13,31,42,4,19,27,46,4,54,32,6,37,21,6,32,30,7,40,18,6,23,27,4,34,49,3,49,27,0,27,21,0,20,13,0,13,36,5,35,71,0,72,8,4,11,432,125,555
POA6042,0,0,0,0,0,0,0,0,0,0,3,5,3,3,8,4,0,4,0,0,0,0,3,3,0,5,5,0,0,0,3,0,0,0,0,0,3,6,8,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,20,18,42
POA6043,0,0,3,0,0,0,0,4,4,0,0,0,0,16,16,3,4,5,0,0,0,0,0,0,6,3,15,5,4,7,0,5,4,6,0,13,4,0,3,0,0,0,0,0,0,0,0,3,4,0,4,10,0,10,0,5,7,72,48,115
POA6044,8,7,18,5,8,9,4,8,11,0,13,16,13,29,44,5,14,27,31,9,47,30,20,50,15,15,23,19,9,29,8,18,27,15,10,21,30,13,38,24,4,29,15,4,24,7,0,10,23,4,28,56,3,57,9,11,17,318,206,523
POA6050,24,58,82,13,26,37,18,59,82,16,131,146,42,259,297,34,251,282,123,146,264,111,190,301,158,234,400,170,218,384,132,166,303,151,126,278,330,258,590,273,22,297,265,86,354,211,13,225,1464,142,1609,289,56,346,33,49,75,3859,2493,6358
POA6051,31,84,112,9,25,36,19,90,102,15,198,215,45,319,362,35,266,299,133,204,337,123,260,383,152,320,467,216,265,475,157,224,381,162,189,354,394,357,752,304,43,351,285,87,379,213,13,229,621,99,716,252,92,343,19,51,68,3185,3168,6351
POA6052,36,74,110,14,17,30,22,57,73,8,99,106,38,218,259,33,138,172,108,98,206,101,109,214,128,124,255,159,117,278,132,88,221,139,66,205,303,160,464,261,23,280,316,37,356,240,6,247,823,53,879,215,34,248,23,34,57,3110,1552,4660
POA6053,25,49,74,19,24,42,6,57,68,21,110,128,58,311,368,65,171,240,161,91,258,136,154,289,174,146,324,212,139,353,169,126,297,224,113,330,401,214,615,419,29,443,424,40,467,326,18,343,916,79,991,347,55,404,26,59,84,4121,1986,6111
POA6054,34,84,120,18,28,51,22,75,99,42,200,242,94,474,564,106,270,380,341,175,511,286,215,501,349,244,591,377,200,578,300,172,465,287,140,423,706,240,948,567,33,595,462,43,504,321,13,334,704,45,752,461,48,510,57,90,146,5528,2794,8317
POA6055,46,67,118,21,28,53,17,50,65,26,87,111,68,196,266,114,182,291,244,89,339,242,161,402,378,224,603,521,225,742,485,186,673,532,173,705,1354,266,1621,1109,33,1138,835,55,895,514,13,528,1130,77,1210,869,63,930,61,37,97,8563,2216,10778
POA6056,108,206,315,38,55,100,67,183,252,51,395,446,186,889,1080,236,521,763,658,338,994,601,444,1042,679,524,1200,828,397,1225,555,322,876,614,231,838,1389,329,1724,1025,26,1056,787,84,869,490,14,499,1182,91,1270,1089,104,1192,129,192,328,10722,5348,16072
POA6057,44,69,115,17,18,34,19,34,53,28,75,97,66,206,272,77,169,242,246,106,352,203,120,325,289,152,441,307,112,425,230,106,340,257,92,350,618,149,764,503,21,525,409,31,434,237,7,239,539,31,569,489,39,525,57,47,100,4621,1581,6204
POA6058,29,41,69,21,21,39,10,41,53,23,97,124,58,233,287,67,167,232,200,85,286,169,122,297,213,150,361,261,122,385,228,103,328,222,60,282,494,117,616,362,14,376,292,25,325,171,0,171,311,39,345,387,31,418,44,41,89,3568,1521,5096
POA6059,71,130,201,29,55,80,30,119,146,27,199,224,114,546,658,126,345,469,354,206,560,307,248,548,353,241,591,413,195,617,302,188,492,335,143,478,717,226,942,619,27,645,536,63,600,405,11,410,1185,70,1255,453,60,507,65,81,144,6441,3139,9579
POA6060,58,132,188,26,49,69,30,112,145,37,283,318,99,605,701,126,474,599,268,316,580,286,377,662,369,489,855,440,414,856,376,391,766,358,286,642,865,527,1396,603,58,662,563,116,677,428,31,458,1105,161,1267,446,96,543,63,92,154,6540,4998,11535
POA6061,126,213,340,36,60,96,74,210,285,93,392,485,241,901,1146,298,445,745,699,303,1002,692,482,1180,781,586,1367,938,514,1448,734,387,1121,695,283,982,1392,445,1837,875,72,947,619,115,738,316,33,351,540,115,652,809,158,966,122,148,270,10095,5854,15948
POA6062,114,160,277,46,43,86,31,125,153,57,209,268,168,639,814,199,325,522,617,231,845,493,300,792,599,332,926,700,277,975,512,234,744,521,198,716,1186,303,1483,883,37,921,791,74,872,456,23,476,1053,82,1136,759,89,847,80,102,178,9262,3763,13028
POA6063,47,46,95,17,22,39,21,53,66,26,80,105,52,182,235,74,82,157,204,79,285,205,99,299,271,125,394,322,93,409,257,60,319,258,51,309,522,79,597,424,12,435,248,26,275,164,4,166,295,23,320,353,22,379,50,24,77,3810,1149,4956
POA6064,120,114,232,28,30,62,52,120,169,61,231,290,178,561,734,204,223,428,565,175,744,520,248,768,585,294,884,685,225,916,577,169,739,524,114,636,1052,149,1199,712,26,738,484,31,515,297,3,301,481,38,524,655,53,709,80,92,175,7869,2892,10758
POA6065,113,138,256,42,44,96,53,104,153,86,226,312,189,637,828,258,514,770,714,284,999,692,328,1026,837,363,1203,1062,325,1389,943,319,1257,1071,223,1288,2462,389,2847,2311,36,2348,1819,80,1904,1217,19,1236,2664,97,2761,1827,62,1891,168,156,330,18541,4354,22888
POA6066,49,52,99,17,20,36,16,45,65,18,84,105,75,201,279,97,94,193,276,74,353,283,102,382,351,118,472,355,107,458,314,79,393,305,65,368,680,86,766,514,12,529,353,8,362,258,8,263,455,17,471,456,29,486,50,30,82,4930,1252,6177
POA6067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,8
POA6068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
POA6069,76,92,166,34,27,55,39,62,103,60,128,182,125,330,455,180,202,386,512,162,680,432,226,654,642,335,977,733,305,1045,671,262,929,755,195,951,1829,297,2124,1365,44,1403,1100,77,1167,661,9,676,1516,59,1578,1446,75,1518,106,73,182,12283,2958,15238
POA6070,9,13,16,3,5,12,6,14,20,3,12,19,12,34,46,14,22,34,37,11,50,35,14,52,54,20,68,54,17,67,34,10,42,51,9,65,106,14,124,101,5,104,102,9,110,61,0,61,268,16,284,113,3,115,8,4,10,1076,228,1305
POA6071,7,7,16,0,0,4,0,10,11,3,18,18,7,35,44,11,21,32,40,19,52,35,18,54,55,20,72,65,19,88,47,23,69,41,19,57,90,16,104,108,3,108,100,8,105,58,0,58,203,3,210,116,6,118,8,6,15,997,237,1236
POA6072,0,0,3,0,0,0,0,0,0,0,3,3,0,7,8,3,3,6,8,8,22,4,7,15,15,7,24,14,7,19,8,0,8,15,0,18,25,7,31,20,0,21,23,0,24,9,0,9,49,0,49,39,0,39,0,0,0,237,61,295
POA6073,4,8,14,4,5,8,10,9,20,0,17,21,16,68,79,20,44,67,48,12,65,45,21,71,66,20,85,43,19,56,35,8,43,48,6,60,108,14,123,81,0,86,78,4,84,52,0,52,134,3,142,101,0,107,10,10,18,908,280,1191
POA6074,4,0,6,0,0,4,3,0,3,3,0,3,9,6,10,3,9,9,15,7,26,16,0,14,25,4,32,25,6,24,14,4,18,19,0,15,35,11,46,18,0,23,27,0,31,15,0,15,43,0,43,36,0,37,0,0,0,292,61,354
POA6076,57,56,119,32,32,60,34,72,104,25,122,150,97,308,402,88,220,302,305,133,442,285,144,428,385,147,529,407,106,511,259,85,337,295,62,358,643,108,749,540,4,547,525,27,553,427,5,423,1279,37,1319,571,20,591,54,54,110,6299,1736,8039
POA6077,8,8,13,0,0,3,0,8,7,4,8,10,7,21,29,6,33,38,24,12,45,25,8,32,32,9,44,37,4,44,18,4,21,18,0,19,36,5,41,35,0,36,25,0,29,17,0,16,79,6,88,64,3,66,14,6,19,454,145,592
POA6078,5,0,7,4,0,3,3,0,0,0,0,0,3,0,3,3,0,7,8,3,13,12,4,18,12,4,22,10,5,20,11,5,17,11,0,15,20,0,25,28,0,31,15,0,17,12,3,13,44,5,47,25,0,26,0,0,0,234,47,279
POA6079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,16
POA6081,13,13,21,8,4,7,3,4,10,3,20,23,18,39,51,13,22,38,61,13,78,46,16,61,74,20,97,63,30,92,49,15,65,82,14,95,154,31,182,135,0,141,123,4,130,95,0,95,258,6,266,188,12,199,18,8,27,1400,273,1677
POA6082,4,8,17,0,0,0,4,12,8,6,9,19,15,34,51,10,15,26,47,13,60,46,19,60,62,12,76,55,16,74,33,20,50,45,17,64,106,20,124,88,0,88,76,9,86,48,0,48,137,4,142,156,4,157,12,4,17,946,221,1170
POA6083,3,18,27,9,0,4,0,6,9,3,4,9,7,32,40,9,4,16,51,3,54,34,13,47,39,28,69,61,8,70,40,15,51,36,4,43,100,14,115,91,0,91,92,12,105,60,0,60,186,3,196,154,5,155,14,7,24,1002,183,1188
POA6084,24,24,46,8,11,22,5,11,13,8,28,34,25,68,100,38,37,76,87,21,110,98,46,136,113,45,163,137,43,186,118,38,155,123,28,151,293,49,338,233,4,241,190,12,203,145,0,149,343,17,357,395,10,408,30,10,42,2434,498,2925
POA6090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
