SED_CODE_2021,T_LPLFS_EPT_DC_0_4,T_LPLFS_EPT_DC_5_9,T_LPLFS_EPT_DC_10_12,T_LPLFS_EPT_DC_13_14,T_LPLFS_EPT_DC_15_17,T_LPLFS_EPT_DC_18_20,T_LPLFS_EPT_DC_21_24,T_LPLFS_EPT_Tot,T_LPLFS_EAW_DC_0_4,T_LPLFS_EAW_DC_5_9,T_LPLFS_EAW_DC_10_12,T_LPLFS_EAW_DC_13_14,T_LPLFS_EAW_DC_15_17,T_LPLFS_EAW_DC_18_20,T_LPLFS_EAW_DC_21_24,T_LPLFS_EAW_Tot,T_LPLFS_HNS_DC_0_4,T_LPLFS_HNS_DC_5_9,T_LPLFS_HNS_DC_10_12,T_LPLFS_HNS_DC_13_14,T_LPLFS_HNS_DC_15_17,T_LPLFS_HNS_DC_18_20,T_LPLFS_HNS_DC_21_24,T_LPLFS_HNS_Tot,T_LPLFS_EW_Tot_DC_0_4,T_LPLFS_EW_Tot_DC_5_9,T_LPLFS_EW_Tot_DC_10_12,T_LPLFS_EW_Tot_DC_13_14,T_LPLFS_EW_Tot_DC_15_17,T_LPLFS_EW_Tot_DC_18_20,T_LPLFS_EW_Tot_DC_21_24,T_LPLFS_EW_Tot_Tot,T_LPLFS_ULFTW_DC_0_4,T_LPLFS_ULFTW_DC_5_9,T_LPLFS_ULFTW_DC_10_12,T_LPLFS_ULFTW_DC_13_14,T_LPLFS_ULFTW_DC_15_17,T_LPLFS_ULFTW_DC_18_20,T_LPLFS_ULFTW_DC_21_24,T_LPLFS_ULFTW_Tot,T_LPLFS_ULPTW_DC_0_4,T_LPLFS_ULPTW_DC_5_9,T_LPLFS_ULPTW_DC_10_12,T_LPLFS_ULPTW_DC_13_14,T_LPLFS_ULPTW_DC_15_17,T_LPLFS_ULPTW_DC_18_20,T_LPLFS_ULPTW_DC_21_24,T_LPLFS_ULPTW_Tot,T_LPLFS_U_T_DC_0_4,T_LPLFS_U_T_DC_5_9,T_LPLFS_U_T_DC_10_12,T_LPLFS_U_T_DC_13_14,T_LPLFS_U_T_DC_15_17,T_LPLFS_U_T_DC_18_20,T_LPLFS_U_T_DC_21_24,T_LPLFS_U_T_Tot,T_LPLFS_T_LF_DC_0_4,T_LPLFS_T_LF_DC_5_9,T_LPLFS_T_LF_DC_10_12,T_LPLFS_T_LF_DC_13_14,T_LPLFS_T_LF_DC_15_17,T_LPLFS_T_LF_DC_18_20,T_LPLFS_T_LF_DC_21_24,T_LPLFS_T_LF_Tot,T_LPLFS_NLF_DC_0_4,T_LPLFS_NLF_DC_5_9,T_LPLFS_NLF_DC_10_12,T_LPLFS_NLF_DC_13_14,T_LPLFS_NLF_DC_15_17,T_LPLFS_NLF_DC_18_20,T_LPLFS_NLF_DC_21_24,T_LPLFS_NLF_Tot,T_LPLFS_LFSNS_DC_0_4,T_LPLFS_LFSNS_DC_5_9,T_LPLFS_LFSNS_DC_10_12,T_LPLFS_LFSNS_DC_13_14,T_LPLFS_LFSNS_DC_15_17,T_LPLFS_LFSNS_DC_18_20,T_LPLFS_LFSNS_DC_21_24,T_LPLFS_LFSNS_Tot,T_LPLFS_Tot_DC_0_4,T_LPLFS_Tot_DC_5_9,T_LPLFS_Tot_DC_10_12,T_LPLFS_Tot_DC_13_14,T_LPLFS_Tot_DC_15_17,T_LPLFS_Tot_DC_18_20,T_LPLFS_Tot_DC_21_24,T_LPLFS_Tot_Tot
SED50106,65,177,125,83,106,10,0,570,7,10,9,5,3,0,0,33,5,3,6,7,3,0,0,22,105,275,239,186,230,18,5,1050,0,12,0,3,5,0,0,26,6,14,6,0,3,0,0,37,6,26,10,7,9,0,0,58,117,296,244,188,233,18,9,1106,157,183,86,62,64,11,3,558,6,4,0,6,0,0,0,14,273,480,336,259,303,25,7,1685
SED50202,123,191,128,110,114,31,19,717,15,9,9,11,4,0,4,60,3,8,6,4,15,0,0,41,227,391,280,237,270,73,60,1541,23,40,23,21,20,9,0,127,33,66,39,22,13,0,0,177,57,102,62,42,30,5,0,301,287,495,343,284,307,76,61,1844,473,401,243,153,117,18,14,1413,14,16,11,14,0,0,0,49,770,909,591,440,429,97,69,3305
SED50304,67,145,70,36,54,23,22,417,8,5,8,6,4,0,6,39,4,0,4,4,8,3,0,25,123,255,164,124,169,84,51,978,3,14,5,4,11,0,0,51,17,22,11,8,8,5,0,72,23,35,18,12,21,9,0,122,145,292,179,137,193,90,53,1097,99,120,44,28,42,13,19,371,4,0,0,0,5,0,0,11,247,410,231,169,239,108,76,1471
SED50405,143,281,159,100,121,34,14,852,28,19,12,6,16,0,0,85,8,5,4,3,9,0,3,37,281,510,374,247,321,87,53,1868,22,16,17,14,9,0,0,78,23,57,24,11,11,0,0,122,44,75,39,29,22,0,0,201,327,577,411,272,339,87,53,2064,305,313,153,94,99,11,23,994,10,8,4,0,3,0,0,38,643,899,574,370,439,89,74,3094
SED50502,68,155,79,78,86,18,31,515,10,4,6,3,4,5,0,35,0,3,4,8,3,7,4,27,134,301,185,182,213,74,58,1142,8,13,14,5,8,4,0,58,15,28,22,14,11,3,0,95,20,47,34,20,18,9,6,152,155,342,223,208,234,81,58,1290,187,217,117,84,65,26,11,708,5,5,3,0,0,4,0,16,344,565,340,288,305,103,71,2018
SED50605,38,107,86,75,89,48,27,465,3,0,0,4,10,0,0,17,4,9,0,0,0,0,0,10,62,203,179,162,222,115,59,998,6,10,5,4,3,5,0,23,5,5,8,10,3,0,0,31,6,14,15,11,8,3,0,53,73,214,191,168,229,118,60,1054,48,58,43,38,37,24,15,252,0,0,3,6,3,0,0,12,122,271,235,208,265,146,75,1323
SED50702,65,116,77,58,68,27,29,433,6,5,6,7,5,0,0,21,0,3,0,3,3,0,0,12,134,233,181,133,181,74,57,987,3,18,13,15,17,6,0,66,17,34,17,11,18,0,0,99,21,50,28,23,38,4,0,164,153,280,208,155,214,74,63,1152,161,175,76,68,52,22,14,569,0,3,0,4,0,0,0,6,317,459,283,225,268,96,76,1726
SED50805,56,83,72,63,91,38,16,416,5,0,4,5,7,0,0,26,0,6,0,0,3,0,0,9,90,189,176,169,234,116,57,1027,3,3,3,3,8,0,0,24,5,7,9,3,3,4,0,29,8,18,11,5,10,4,0,47,99,203,187,168,244,121,57,1077,34,40,35,31,41,4,12,193,0,4,4,0,0,0,0,12,131,244,227,196,286,122,67,1277
SED50906,88,207,150,118,101,12,3,693,17,15,5,9,16,0,0,66,6,4,9,3,0,0,0,17,157,360,298,254,278,30,8,1381,4,12,10,7,0,0,0,43,19,29,13,17,9,0,0,88,26,44,26,23,18,0,0,133,181,400,323,272,292,30,7,1515,288,250,151,84,76,5,4,859,3,3,0,3,0,0,0,11,468,655,474,365,370,38,9,2380
SED51004,77,159,107,72,104,32,19,571,9,13,9,3,11,3,0,47,3,9,4,0,4,0,0,25,138,313,231,202,290,93,59,1328,7,15,16,9,12,4,0,63,10,21,16,9,7,0,0,55,13,36,31,15,20,8,0,118,156,346,264,212,309,99,61,1446,164,213,97,59,66,18,14,633,0,4,5,3,6,0,0,12,317,562,365,279,379,111,78,2095
SED51104,177,311,217,135,139,33,18,1031,25,9,7,8,11,7,0,69,13,12,6,6,7,0,0,42,303,560,421,273,360,89,66,2066,20,33,20,23,23,0,3,117,38,45,21,11,6,0,0,131,51,78,44,31,31,3,4,250,356,641,462,310,382,92,69,2318,364,328,171,124,115,20,8,1119,6,10,4,4,4,0,0,28,731,978,636,435,503,111,79,3464
SED51205,62,123,79,58,89,28,25,468,17,21,4,7,10,3,0,46,0,5,6,0,4,0,4,19,142,227,179,154,206,88,55,1060,9,15,15,8,9,4,5,60,9,13,16,8,17,0,0,58,20,25,24,17,25,7,3,120,165,255,209,169,231,97,58,1181,191,172,93,59,75,31,18,644,11,10,9,4,5,0,0,33,358,443,307,235,311,126,80,1858
SED51304,41,84,106,43,58,22,20,369,5,0,0,0,6,3,4,17,0,9,0,0,0,0,0,12,75,179,202,139,192,82,53,926,0,0,3,0,3,0,0,10,7,4,5,0,7,0,0,21,7,4,5,0,8,0,0,32,82,183,206,142,200,82,54,952,35,37,18,23,21,8,3,148,0,4,5,0,0,0,0,9,116,223,230,169,221,90,59,1110
SED51401,41,75,93,44,63,0,0,326,10,3,8,3,6,0,0,27,3,3,4,6,0,0,0,14,81,168,170,101,141,7,4,674,6,18,9,10,9,0,0,46,12,21,14,4,5,0,0,61,21,40,21,15,13,0,0,108,104,206,191,115,150,7,4,779,166,182,78,66,43,4,0,534,4,9,0,9,0,0,0,24,276,398,273,185,193,15,4,1342
SED51504,39,86,72,56,83,39,13,386,3,0,3,3,5,0,4,15,0,0,0,0,0,0,0,5,62,187,170,145,208,107,63,939,0,9,7,0,4,0,0,21,0,7,6,3,13,0,0,30,0,15,12,6,15,0,3,46,65,197,178,151,218,108,61,989,38,71,49,26,44,27,16,272,7,8,0,0,4,0,0,12,107,275,229,182,262,135,78,1276
SED51605,86,186,130,81,94,35,18,622,3,6,3,0,6,3,12,33,6,8,5,0,0,0,0,26,145,347,262,178,240,94,64,1328,4,5,9,8,3,0,0,38,19,15,16,9,10,0,0,67,20,22,23,14,16,0,0,105,171,372,284,196,258,95,63,1439,141,150,73,53,49,8,7,491,3,4,0,0,0,0,0,9,315,529,367,247,308,104,73,1941
SED51706,76,179,119,100,108,7,0,588,18,7,12,8,3,0,0,51,3,4,0,3,7,0,0,17,147,300,240,182,228,18,4,1118,10,20,15,7,5,3,0,55,4,27,19,9,6,0,0,66,6,51,28,18,12,3,0,124,154,347,267,203,240,21,4,1232,195,204,98,69,60,10,3,638,4,0,0,0,0,0,0,10,350,555,370,271,307,29,7,1888
SED51804,31,83,76,62,90,56,27,420,0,3,3,3,4,0,0,20,0,0,0,0,0,0,0,6,47,166,178,139,217,133,61,942,0,9,8,7,10,0,0,39,3,10,4,4,5,0,0,31,4,10,13,14,21,3,7,69,55,183,193,152,233,136,66,1016,28,43,38,36,58,31,19,260,0,5,0,0,0,0,0,6,79,230,227,189,292,165,88,1279
SED51902,94,189,102,72,92,16,3,572,17,17,7,10,4,3,0,51,6,4,4,0,3,0,0,22,187,357,240,185,223,47,25,1264,6,12,10,9,8,3,0,50,15,18,10,4,6,0,0,53,13,36,20,10,16,7,0,100,201,393,261,196,235,56,25,1365,176,143,79,51,34,7,9,507,4,0,0,0,0,0,0,5,384,536,337,252,277,63,29,1875
SED52006,79,202,127,87,98,32,9,635,10,9,10,6,14,4,0,52,0,3,0,5,0,0,0,10,134,310,257,190,223,64,29,1200,9,23,19,13,7,3,0,70,20,34,20,5,12,0,0,88,29,59,35,15,25,3,4,159,159,368,284,208,250,64,31,1367,189,208,108,72,65,13,6,660,0,11,5,0,5,0,0,22,348,584,398,280,319,84,33,2045
SED52102,74,168,130,101,75,19,4,563,4,4,10,4,7,3,0,44,8,0,0,4,0,0,0,12,137,325,277,203,223,60,37,1266,4,13,19,0,9,0,0,45,17,40,18,13,10,0,6,101,16,48,35,14,20,0,5,143,154,372,309,224,245,60,44,1412,149,169,99,51,65,14,7,550,3,4,6,0,0,0,0,23,304,549,414,272,310,74,53,1976
SED52205,63,127,95,82,96,29,15,513,9,9,4,3,4,4,0,35,0,0,0,0,3,0,0,14,115,255,192,162,203,95,47,1073,6,10,3,3,7,0,0,34,10,23,16,11,7,3,4,77,22,30,15,11,12,3,5,104,133,289,213,177,215,104,54,1176,131,112,69,57,66,10,11,455,5,4,4,6,0,0,0,16,272,402,279,230,284,110,69,1656
SED52301,78,151,124,68,82,0,0,506,12,14,10,10,8,4,0,53,0,3,0,0,0,0,0,13,124,289,272,176,221,14,10,1102,3,17,23,11,0,0,0,50,18,26,14,8,11,0,0,77,14,43,31,19,13,0,0,128,145,332,300,196,236,14,3,1232,241,246,116,79,62,12,0,764,3,24,7,7,4,0,0,49,386,599,429,283,304,24,8,2040
SED52404,52,128,101,55,84,36,16,463,7,4,0,5,8,0,0,31,0,0,6,0,3,0,0,11,101,222,227,152,237,98,44,1084,0,12,5,8,10,0,0,32,8,22,7,5,9,0,0,52,8,34,14,12,17,0,4,80,104,256,244,164,251,97,51,1165,75,69,52,36,36,14,10,289,0,4,3,0,0,0,0,9,184,333,291,194,288,107,57,1459
SED52505,64,135,85,65,85,41,19,502,15,4,3,3,7,3,0,37,5,5,3,0,5,0,0,18,151,281,236,164,243,90,64,1230,0,4,3,4,3,10,0,19,8,18,5,3,6,0,0,48,9,24,12,13,14,8,0,70,163,302,248,172,251,97,67,1301,75,97,55,45,42,13,10,347,0,0,0,0,0,0,0,4,240,401,310,221,294,111,78,1647
SED52604,45,146,68,64,84,26,19,450,8,11,3,10,5,5,3,42,6,3,3,6,4,3,0,21,89,255,162,166,218,86,71,1045,0,5,9,5,5,0,0,30,6,15,6,6,3,0,0,46,13,22,11,8,12,3,8,73,96,280,174,176,225,93,78,1126,75,77,51,36,38,10,5,293,0,0,0,0,0,0,0,3,179,356,229,213,262,103,82,1425
SED52702,37,99,96,44,53,17,5,361,9,0,5,3,3,5,0,19,0,0,0,3,3,0,0,10,72,182,188,125,153,50,35,801,0,6,4,4,0,0,0,10,3,10,3,4,7,0,0,32,3,15,8,7,7,0,0,46,69,195,195,128,159,50,35,843,49,70,39,27,26,3,6,220,0,4,0,0,0,0,0,8,125,263,242,155,185,57,40,1073
SED52803,60,97,56,42,34,3,0,295,0,8,9,3,0,0,0,28,8,9,7,4,0,0,0,29,132,262,197,139,134,13,0,879,5,5,7,4,0,0,0,27,3,9,7,8,4,0,0,32,6,21,15,11,8,0,0,55,140,279,211,145,142,17,0,930,182,127,61,42,21,3,0,439,20,10,13,11,4,0,0,49,339,418,280,198,169,15,0,1421
SED52903,55,137,71,40,29,4,0,345,10,10,7,12,0,0,0,42,5,8,11,6,0,0,0,28,136,311,214,144,124,9,5,941,4,14,8,4,5,0,0,42,5,15,11,7,8,0,0,44,15,30,17,13,8,0,0,90,150,343,230,159,129,9,5,1032,410,401,240,143,95,8,0,1289,20,41,23,3,5,0,0,85,577,777,491,305,233,15,5,2414
SED53004,57,135,98,79,85,39,12,499,7,7,0,3,0,0,0,20,0,6,0,0,0,0,0,12,89,268,218,166,236,101,54,1125,3,3,0,3,4,3,0,20,4,18,15,0,4,0,0,42,8,18,15,3,4,3,0,63,93,287,230,169,242,99,53,1183,73,62,37,34,33,14,6,251,0,0,4,0,0,0,0,3,162,352,267,207,280,115,59,1442
SED53105,111,215,147,89,97,22,13,697,13,9,11,9,5,0,0,48,11,10,8,9,0,0,0,38,210,406,302,211,226,62,37,1453,19,26,9,13,12,5,0,79,27,36,17,12,13,0,0,103,42,63,23,28,25,3,0,185,250,469,325,238,248,67,35,1636,308,279,138,105,67,16,4,920,0,3,8,0,0,0,0,15,567,753,467,345,315,83,44,2568
SED53204,75,161,92,88,86,33,22,557,11,16,9,4,8,0,5,44,3,7,0,6,3,0,0,16,139,314,214,189,236,105,73,1271,5,3,9,3,4,3,3,38,8,20,13,14,13,4,0,82,12,25,27,19,20,7,5,120,152,340,239,208,260,113,75,1391,108,118,62,35,56,23,16,417,4,3,3,0,0,3,4,17,265,462,301,247,318,133,99,1819
SED53306,114,245,185,93,102,15,8,759,14,12,0,5,12,4,0,51,0,8,6,3,4,0,0,22,175,386,295,185,235,53,27,1362,15,24,18,12,18,5,3,91,27,42,23,25,10,0,0,123,38,65,38,32,34,5,4,215,213,451,330,217,265,62,30,1574,368,330,157,118,97,20,7,1104,12,6,9,0,5,0,0,30,593,791,500,337,365,83,40,2709
SED53402,42,86,67,60,50,23,18,349,6,5,0,0,4,0,0,27,3,0,0,0,0,5,0,11,95,207,145,142,163,76,42,863,4,20,12,7,9,6,4,63,6,18,7,12,7,0,6,49,7,36,18,16,12,6,9,109,102,242,165,158,171,86,47,974,118,89,48,38,36,17,9,361,5,8,0,0,0,0,0,10,224,341,215,195,205,102,61,1345
SED53502,108,173,121,83,130,30,12,651,17,4,3,4,3,6,0,45,6,3,4,4,5,0,0,31,186,315,248,191,285,87,44,1354,9,15,11,4,5,6,0,51,13,41,20,5,9,0,0,88,24,59,27,12,18,6,0,141,205,376,274,201,300,92,49,1499,239,215,107,76,64,11,6,729,0,3,8,0,3,0,0,14,451,589,388,283,372,107,59,2242
SED53602,101,190,131,98,127,53,19,709,15,5,5,4,9,0,0,37,5,13,6,6,4,4,0,51,196,347,247,182,253,113,59,1404,8,31,10,11,9,7,4,78,25,41,29,13,19,3,5,137,27,73,39,22,33,7,10,218,229,418,288,208,294,124,71,1624,309,305,178,134,125,44,31,1134,12,16,9,0,4,5,0,50,548,733,477,342,422,167,107,2800
SED53701,44,88,65,44,51,6,5,300,9,3,10,7,5,0,0,28,0,0,0,4,0,0,0,10,79,159,140,95,125,5,4,612,0,5,8,3,6,0,0,15,10,20,9,13,10,0,0,50,10,19,18,18,10,0,0,71,87,183,154,109,135,5,4,682,131,118,85,55,35,0,0,428,0,6,7,5,0,0,0,20,221,308,248,171,169,10,4,1132
SED53802,75,142,102,74,81,31,23,518,12,6,9,0,0,3,4,37,0,4,3,4,5,0,0,15,133,263,213,150,206,97,66,1128,8,10,11,7,11,0,0,44,5,15,12,5,10,4,0,49,14,21,17,12,19,3,0,90,150,285,231,163,220,99,66,1217,162,165,90,59,60,27,10,575,5,7,0,0,0,0,0,12,320,459,317,217,284,129,83,1804
SED53902,49,91,90,59,68,34,27,418,0,7,0,5,0,0,0,18,5,3,0,0,0,0,0,14,87,204,182,115,165,80,74,916,0,12,5,3,5,4,4,39,3,12,0,5,4,0,3,37,7,21,12,9,8,10,8,70,93,224,195,125,179,95,81,986,70,77,37,30,23,9,9,262,0,10,3,0,0,0,0,14,165,310,238,157,204,106,90,1261
SED54006,68,157,116,90,99,7,0,538,8,5,9,14,3,0,0,39,9,8,5,0,3,0,0,25,116,267,232,182,212,32,9,1056,3,10,8,9,3,0,0,35,19,30,20,4,0,0,0,82,26,41,30,16,7,4,0,113,140,315,260,198,227,31,12,1168,177,182,97,72,63,9,0,609,5,3,0,3,0,0,0,17,323,496,360,270,291,40,12,1795
SED54104,30,97,70,49,69,32,28,379,8,9,7,4,4,6,3,30,0,0,0,0,3,0,0,7,64,190,170,136,201,125,95,978,0,7,0,10,3,3,4,26,3,8,4,6,11,4,0,32,3,14,5,14,13,7,4,63,70,205,173,151,219,127,97,1038,31,37,39,29,35,23,13,205,0,0,0,0,0,0,0,0,95,237,216,170,256,151,110,1240
SED54203,19,38,35,12,13,0,0,121,0,3,8,4,0,0,0,17,0,3,0,0,3,0,0,10,42,92,90,35,51,0,0,317,9,4,6,6,6,0,0,23,5,4,7,3,0,0,0,30,10,9,6,10,12,0,0,53,58,106,96,44,60,0,0,366,109,119,70,38,31,0,0,363,4,6,6,0,3,0,0,14,163,231,169,85,91,5,4,751
SED54304,40,90,59,39,46,26,7,305,5,4,4,0,0,4,0,19,0,0,0,0,0,0,3,5,85,200,135,110,150,79,39,804,0,0,0,0,3,0,3,12,5,8,0,0,0,0,0,19,5,14,6,4,4,0,5,34,91,217,141,111,154,79,42,832,44,45,30,36,35,18,10,223,3,0,0,0,0,0,0,0,138,261,167,153,188,100,59,1063
SED54403,37,72,31,34,28,0,0,203,9,5,0,3,9,0,0,28,13,14,3,3,3,0,0,36,146,272,167,125,131,12,0,850,8,11,3,10,7,0,0,41,4,14,3,6,0,0,0,31,19,28,7,16,6,0,0,76,160,302,178,144,138,12,0,923,118,124,80,51,38,3,0,421,5,6,7,3,0,0,0,21,285,429,260,193,177,18,0,1369
SED54505,33,99,116,79,106,41,19,494,8,6,6,8,3,0,0,28,0,5,0,0,7,0,0,15,61,197,226,187,296,130,61,1159,0,3,4,6,7,0,3,25,3,18,5,6,10,0,0,41,3,21,10,13,17,0,3,69,72,216,236,199,315,127,63,1228,46,55,59,44,65,27,20,319,0,3,0,0,0,0,0,6,113,271,297,246,376,155,87,1548
SED54605,64,129,102,80,86,16,8,487,4,16,4,8,0,0,0,32,5,4,6,5,0,0,0,23,111,250,212,159,204,42,26,999,13,13,12,8,9,5,0,56,10,21,22,11,3,4,0,66,23,31,31,17,12,6,3,125,128,276,247,178,213,46,28,1124,241,204,114,88,84,16,3,751,4,0,3,3,0,0,0,15,374,482,366,271,299,64,38,1888
SED54701,50,114,58,46,54,0,0,323,8,7,4,6,5,5,0,29,0,4,0,0,5,0,0,9,91,204,139,107,138,11,6,692,4,13,15,11,11,5,0,48,7,23,4,3,10,0,0,47,10,39,19,9,16,4,0,94,106,236,156,118,156,13,3,786,157,147,81,53,54,3,0,506,10,5,12,7,6,0,0,43,279,393,247,183,216,14,3,1329
SED54804,63,146,94,55,74,39,12,476,11,9,4,3,4,4,0,33,0,0,0,0,0,0,0,5,97,276,207,155,200,98,56,1093,4,0,6,3,7,4,4,25,0,6,12,6,5,0,0,29,7,11,12,6,13,6,4,57,103,287,219,160,216,103,55,1148,71,82,43,38,36,17,15,304,0,0,0,3,0,0,0,11,173,371,266,201,253,122,70,1456
SED54905,39,76,67,36,49,38,14,307,3,7,3,0,0,0,0,18,0,0,0,3,0,0,0,12,84,156,140,100,130,89,54,756,0,4,3,9,5,4,5,26,5,4,9,4,4,0,0,21,8,8,11,15,8,4,5,46,87,165,150,107,134,97,61,801,57,80,54,35,45,23,18,306,0,3,0,0,0,0,0,11,148,245,207,140,179,115,78,1120
SED55005,77,195,116,90,107,35,28,647,12,13,11,8,6,3,0,53,9,4,3,6,7,3,3,30,151,346,257,190,257,94,81,1372,18,13,6,3,8,0,4,51,14,46,13,14,9,0,0,88,26,57,21,17,17,0,3,144,179,409,279,206,272,99,82,1523,214,188,133,70,58,24,17,705,3,0,8,4,4,0,0,27,397,599,416,285,335,121,101,2251
SED55102,104,226,139,82,79,21,7,662,21,15,11,10,10,3,0,72,4,11,11,4,8,6,0,46,217,452,337,206,268,61,33,1577,7,18,9,0,11,3,0,46,6,20,8,9,11,4,0,65,12,40,23,15,17,4,0,105,230,492,356,221,287,71,33,1682,218,228,150,74,84,14,6,781,0,8,9,0,3,0,0,16,450,734,507,298,366,90,33,2485
SED55202,71,164,115,75,85,31,16,554,13,20,3,0,0,0,0,39,4,8,3,3,5,0,0,31,142,305,203,156,214,78,49,1149,14,27,21,7,12,5,5,87,23,35,13,15,14,3,0,113,35,66,40,22,25,9,6,202,180,371,239,184,238,85,58,1352,278,250,120,82,85,32,18,865,18,16,0,4,3,0,6,43,477,635,361,265,321,122,75,2266
SED55306,75,215,182,118,125,11,0,728,8,8,11,7,6,0,5,36,0,8,0,0,0,0,0,13,103,325,300,227,276,19,0,1258,0,3,7,3,0,0,0,17,4,7,0,3,0,0,0,21,8,16,5,4,3,0,0,44,111,344,312,231,278,19,0,1297,119,123,52,46,51,0,0,390,0,7,0,0,0,0,0,21,228,472,366,283,328,23,4,1710
SED55405,54,113,57,51,49,21,25,373,3,9,0,0,3,0,0,23,5,11,0,0,0,0,0,17,103,222,122,111,162,80,64,870,4,5,3,5,3,0,5,31,8,9,5,12,9,0,0,41,11,18,14,12,9,0,5,66,116,245,138,120,173,86,71,941,91,93,71,44,40,20,10,378,15,0,0,0,0,0,0,19,217,341,212,170,215,110,82,1336
SED55504,100,222,153,92,123,30,20,749,7,9,8,4,3,0,3,44,4,6,3,0,10,5,0,32,170,408,318,224,262,86,50,1521,7,15,15,4,6,3,3,48,19,26,9,10,6,0,0,70,22,40,25,14,12,0,5,124,198,447,341,238,280,91,58,1642,194,189,111,82,83,19,6,689,5,5,0,0,3,0,0,12,393,638,455,322,365,110,57,2342
SED55605,132,246,183,153,133,27,18,885,24,17,14,11,10,0,0,73,0,9,3,0,6,5,0,22,250,473,382,305,327,83,44,1854,18,37,19,12,21,4,0,110,17,24,20,15,13,0,0,84,31,60,36,26,28,4,0,191,280,531,419,329,355,83,44,2052,279,308,164,108,104,13,10,986,14,9,6,7,0,0,0,34,572,850,595,446,461,100,52,3073
SED55706,65,164,120,98,106,12,0,575,0,7,13,12,5,0,0,35,0,9,7,3,0,0,0,15,89,244,219,184,224,20,0,976,0,11,6,9,3,0,0,22,9,18,0,0,3,0,0,31,9,21,10,8,9,0,0,58,98,265,231,193,232,15,0,1035,113,115,61,46,50,5,0,387,0,5,0,4,0,0,0,9,211,385,294,238,282,22,4,1437
SED55802,105,188,116,110,96,33,18,661,16,18,7,11,11,3,6,65,8,10,7,4,5,0,0,44,220,401,290,236,283,100,47,1577,13,17,11,7,13,3,4,63,20,23,5,4,5,0,0,69,28,48,14,12,18,4,6,130,246,441,307,251,302,105,54,1706,220,195,99,68,76,34,6,703,14,7,4,3,0,0,0,28,472,653,411,326,380,137,63,2440
SED55905,48,152,113,73,93,26,15,517,3,17,7,4,0,3,4,44,5,5,5,3,0,0,0,22,90,266,215,156,188,70,47,1029,5,10,4,3,5,0,0,30,8,24,7,7,7,6,6,67,11,34,8,13,22,5,6,95,102,300,222,170,208,72,50,1124,121,144,86,57,52,10,9,481,3,4,0,4,0,0,0,14,226,450,318,234,262,85,58,1620
SED59494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SED59797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
