UCL_CODE_2021,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85ov,P_Tot_Tot
UCL501001,149336,103359,49960,18246,1070039
UCL511001,5734,4004,1804,634,35809
UCL512001,2566,2053,1113,452,14913
UCL512002,2179,1927,1028,345,13148
UCL512003,2450,1587,775,346,15286
UCL512004,1869,867,284,92,13413
UCL513001,1073,512,122,30,7887
UCL513002,708,473,348,91,4577
UCL513003,907,237,41,3,8921
UCL513004,980,252,55,11,7678
UCL513005,714,465,282,89,5073
UCL514001,468,402,213,75,2989
UCL514002,587,554,287,62,3981
UCL514003,506,391,146,75,3928
UCL514004,501,375,184,70,2831
UCL515001,117,173,106,36,650
UCL515002,129,100,29,4,650
UCL515003,232,265,115,27,1201
UCL515004,96,57,17,11,940
UCL515005,163,135,43,10,1017
UCL515006,332,211,86,24,1983
UCL515007,149,82,33,6,1097
UCL515008,105,18,7,0,678
UCL515009,290,312,169,51,1624
UCL515010,247,177,41,6,1483
UCL515011,204,178,112,31,1189
UCL515012,128,67,18,4,1056
UCL515013,209,119,44,9,1555
UCL515014,61,15,0,0,392
UCL515015,147,124,102,48,1174
UCL515016,154,158,58,14,786
UCL515017,132,133,50,11,642
UCL515018,113,47,22,6,704
UCL515019,201,143,82,33,1361
UCL515020,308,124,39,14,2301
UCL515021,178,154,67,22,882
UCL515022,245,207,104,32,1639
UCL515023,160,106,50,19,1016
UCL515024,116,96,41,19,653
UCL515025,144,119,72,49,837
UCL515026,140,70,27,6,1027
UCL515027,263,217,108,69,1732
UCL515028,219,48,5,0,2041
UCL515029,85,13,4,0,671
UCL515030,267,239,142,77,1680
UCL515031,251,250,139,25,1283
UCL515032,103,60,9,4,698
UCL515033,149,32,9,0,1412
UCL515034,245,162,72,11,1332
UCL515035,110,93,42,7,521
UCL515036,176,134,76,41,1009
UCL515037,96,20,3,0,1008
UCL515038,216,280,150,39,1144
UCL521001,60,27,4,0,250
UCL521002,63,90,20,0,375
UCL521003,59,86,48,22,374
UCL521004,23,4,3,0,152
UCL521005,98,59,29,3,491
UCL521006,106,73,36,4,436
UCL521007,38,28,23,8,239
UCL521008,37,28,15,4,194
UCL521009,44,38,26,9,229
UCL521010,60,40,12,5,338
UCL521011,38,18,4,0,263
UCL521012,61,36,4,5,251
UCL521013,79,54,13,3,422
UCL521014,75,52,9,4,346
UCL521015,36,51,18,16,264
UCL521016,35,22,13,5,248
UCL521017,29,17,15,4,268
UCL521018,35,23,9,0,250
UCL521019,71,69,28,5,397
UCL521020,66,75,29,9,335
UCL521021,58,46,32,0,381
UCL521022,89,77,11,4,466
UCL521023,51,31,8,6,215
UCL521024,79,37,18,3,547
UCL521025,56,46,23,3,370
UCL521026,68,29,21,0,381
UCL521027,57,37,11,4,396
UCL521028,60,38,33,15,292
UCL521029,56,41,36,27,355
UCL521030,75,58,40,7,372
UCL521031,51,20,9,0,284
UCL521032,66,19,5,0,271
UCL521033,74,42,12,4,351
UCL521034,63,37,19,5,336
UCL521035,65,51,41,7,280
UCL521036,48,30,16,0,216
UCL521037,56,43,23,6,362
UCL521038,63,72,37,8,320
UCL521039,122,73,48,12,484
UCL521040,66,20,4,0,429
UCL521041,24,6,0,0,315
UCL521042,40,30,10,12,253
UCL521043,75,51,21,0,319
UCL521044,65,55,29,8,294
UCL521045,61,68,34,15,287
UCL521046,42,19,9,0,187
UCL521047,40,17,8,5,195
UCL521048,101,109,47,19,456
UCL521049,16,4,0,0,103
UCL521050,47,50,14,8,304
UCL521051,64,48,23,3,331
UCL521052,52,23,9,4,294
UCL522001,12,11,0,0,92
UCL522002,32,41,19,0,174
UCL522003,6,3,0,0,77
UCL522004,3,0,0,0,44
UCL522005,10,4,0,0,75
UCL522006,56,41,11,5,271
UCL522007,22,17,12,3,97
UCL522008,24,18,10,0,90
UCL522009,24,11,8,0,166
UCL522010,37,49,23,10,216
UCL522011,19,28,8,0,158
UCL522012,42,44,20,5,219
UCL522013,43,25,9,5,202
UCL522014,18,6,3,0,70
UCL522015,15,8,0,0,132
UCL522016,22,12,12,5,113
UCL522017,47,29,18,5,168
UCL522018,8,31,3,0,76
UCL522019,24,8,4,4,88
UCL522020,19,3,4,0,70
UCL522021,12,36,13,5,132
UCL522022,22,22,7,0,108
UCL522023,39,27,6,4,147
UCL522024,50,61,21,3,183
UCL522025,44,40,12,4,191
UCL522026,28,46,27,5,138
UCL522027,38,30,14,0,153
UCL522028,24,22,17,5,79
UCL522029,16,14,11,4,147
UCL522030,24,3,5,0,117
UCL522031,5,0,0,0,38
UCL522032,23,7,3,0,61
UCL522033,43,54,27,3,183
UCL522034,0,0,0,0,20
UCL522035,13,12,8,0,82
UCL522036,14,14,8,0,84
UCL522037,22,12,6,4,126
UCL522038,20,8,11,6,187
UCL522039,45,16,3,0,173
UCL522040,25,34,11,0,116
UCL522041,46,38,10,5,159
UCL522042,16,8,0,0,180
UCL522043,13,5,0,0,122
UCL522044,13,11,7,0,57
UCL522045,12,3,0,0,46
UCL522046,25,26,9,4,112
UCL522047,30,44,15,7,203
UCL522048,16,13,8,4,115
UCL522049,22,30,8,0,144
UCL522050,35,19,23,20,171
UCL522051,29,9,3,0,118
UCL522052,6,6,5,0,42
UCL522053,8,0,0,0,36
UCL522054,8,5,4,5,68
UCL522055,33,17,4,0,144
UCL522056,32,10,6,0,162
UCL522057,14,3,0,0,109
UCL522058,19,10,7,0,103
UCL522059,23,26,17,0,155
UCL522060,5,5,0,0,17
UCL522061,40,48,32,3,178
UCL522062,0,0,0,0,36
UCL522063,9,0,0,0,37
UCL522064,7,3,9,0,128
UCL522065,28,15,12,7,111
UCL522066,21,13,11,4,184
UCL522067,7,12,0,0,123
UCL522068,47,25,12,6,225
UCL522069,16,23,14,0,125
UCL522070,25,24,7,3,134
UCL522071,11,0,0,0,61
UCL531001,16365,10962,3884,637,82455
UCL579997,48,15,0,0,428
UCL599994,876,505,105,20,5668
