UCL_CODE_2021,P_400_499_15_19_yr,P_400_499_20_24_yr,P_400_499_25_34_yr,P_400_499_35_44_yr,P_400_499_45_54_yr,P_400_499_55_64_yr,P_400_499_65_74_yr,P_400_499_75_84_yr,P_400_499_85_yr_over,P_400_499_Tot,P_500_649_15_19_yr,P_500_649_20_24_yr,P_500_649_25_34_yr,P_500_649_35_44_yr,P_500_649_45_54_yr,P_500_649_55_64_yr,P_500_649_65_74_yr,P_500_649_75_84_yr,P_500_649_85_yr_over,P_500_649_Tot,P_650_799_15_19_yr,P_650_799_20_24_yr,P_650_799_25_34_yr,P_650_799_35_44_yr,P_650_799_45_54_yr,P_650_799_55_64_yr,P_650_799_65_74_yr,P_650_799_75_84_yr,P_650_799_85_yr_over,P_650_799_Tot,P_800_999_15_19_yr,P_800_999_20_24_yr,P_800_999_25_34_yr,P_800_999_35_44_yr,P_800_999_45_54_yr,P_800_999_55_64_yr,P_800_999_65_74_yr,P_800_999_75_84_yr,P_800_999_85_yr_over,P_800_999_Tot,P_1000_1249_15_19_yr,P_1000_1249_20_24_yr,P_1000_1249_25_34_yr,P_1000_1249_35_44_yr,P_1000_1249_45_54_yr,P_1000_1249_55_64_yr,P_1000_1249_65_74_yr,P_1000_1249_75_84_yr,P_1000_1249_85_yr_over,P_1000_1249_Tot,P_1250_1499_15_19_yr,P_1250_1499_20_24_yr,P_1250_1499_25_34_yr,P_1250_1499_35_44_yr,P_1250_1499_45_54_yr,P_1250_1499_55_64_yr,P_1250_1499_65_74_yr,P_1250_1499_75_84_yr,P_1250_1499_85_yr_over,P_1250_1499_Tot,P_1500_1749_15_19_yr,P_1500_1749_20_24_yr,P_1500_1749_25_34_yr,P_1500_1749_35_44_yr,P_1500_1749_45_54_yr,P_1500_1749_55_64_yr,P_1500_1749_65_74_yr,P_1500_1749_75_84_yr,P_1500_1749_85_yr_over,P_1500_1749_Tot,P_1750_1999_15_19_yr,P_1750_1999_20_24_yr,P_1750_1999_25_34_yr,P_1750_1999_35_44_yr,P_1750_1999_45_54_yr,P_1750_1999_55_64_yr,P_1750_1999_65_74_yr,P_1750_1999_75_84_yr,P_1750_1999_85_yr_over,P_1750_1999_Tot,P_2000_2999_15_19_yr,P_2000_2999_20_24_yr,P_2000_2999_25_34_yr,P_2000_2999_35_44_yr,P_2000_2999_45_54_yr,P_2000_2999_55_64_yr,P_2000_2999_65_74_yr,P_2000_2999_75_84_yr,P_2000_2999_85_yr_over,P_2000_2999_Tot,P_3000_3499_15_19_yr,P_3000_3499_20_24_yr,P_3000_3499_25_34_yr,P_3000_3499_35_44_yr,P_3000_3499_45_54_yr,P_3000_3499_55_64_yr,P_3000_3499_65_74_yr,P_3000_3499_75_84_yr,P_3000_3499_85_yr_over,P_3000_3499_Tot,P_3500_more_15_19_yr,P_3500_more_20_24_yr,P_3500_more_25_34_yr,P_3500_more_35_44_yr,P_3500_more_45_54_yr,P_3500_more_55_64_yr,P_3500_more_65_74_yr,P_3500_more_75_84_yr,P_3500_more_85_yr_over,P_3500_more_Tot,P_Personal_inc_ns_15_19_yr,P_Personal_inc_ns_20_24_yr,P_Personal_inc_ns_25_34_yr,P_Personal_inc_ns_35_44_yr,P_Personal_inc_ns_45_54_yr,P_Personal_inc_ns_55_64_yr,P_Personal_inc_ns_65_74_yr,P_Personal_inc_ns_75_84_yr,P_Personal_inc_ns_85_yr_over,P_Personal_inc_ns_Tot,P_OS_vis_15_19_yr,P_OS_vis_20_24_yr,P_OS_vis_25_34_yr,P_OS_vis_35_44_yr,P_OS_vis_45_54_yr,P_OS_vis_55_64_yr,P_OS_vis_65_74_yr,P_OS_vis_75_84_yr,P_OS_vis_85_yr_over,P_OS_vis_Tot,P_Tot_15_19_yr,P_Tot_20_24_yr,P_Tot_25_34_yr,P_Tot_35_44_yr,P_Tot_45_54_yr,P_Tot_55_64_yr,P_Tot_65_74_yr,P_Tot_75_84_yr,P_Tot_85_yr_over,P_Tot_Tot
UCL501001,4814,9909,11029,9757,9664,12152,25675,20455,9796,113266,4918,13115,16859,14277,12793,13207,19494,12346,4701,111706,3124,13273,19506,16503,13798,12957,13483,7559,2578,102777,2085,14625,27930,21854,19370,16258,11349,4820,1662,119947,1076,12822,36562,29349,25195,21532,10737,3442,976,141697,430,7586,30911,25654,21564,17098,6953,1867,478,112553,212,4118,27218,25279,21338,16407,5475,1510,530,102081,86,1794,18793,20695,17864,12409,3654,778,224,76293,88,2017,28364,42405,36924,23940,5850,1171,362,141117,24,307,5561,11109,9954,6155,1615,402,121,35244,70,267,5198,17824,20220,12161,3573,1107,316,60731,5548,7112,16518,14157,11520,9218,8571,8438,7547,88634,129,379,1024,632,635,910,788,267,78,4837,118813,126375,287428,290440,256255,222529,177310,98207,39957,1617314
UCL511001,204,214,404,420,419,560,1148,908,415,4691,293,371,586,605,550,569,837,507,184,4506,196,476,686,647,683,556,567,328,108,4243,135,622,973,823,798,674,421,179,49,4672,50,461,1063,961,987,821,417,118,23,4904,17,254,836,793,779,651,196,50,11,3594,14,158,680,830,763,607,163,45,20,3269,4,81,575,665,663,552,102,27,6,2662,0,107,862,1316,1328,957,165,21,14,4769,0,16,159,275,320,210,50,8,10,1045,5,13,131,325,400,250,99,19,9,1250,237,260,680,628,530,458,385,297,266,3736,6,3,26,8,9,14,11,3,0,89,4627,3786,9091,9666,9478,8854,7074,3920,1511,58003
UCL512001,115,110,163,181,210,295,561,497,209,2346,135,151,255,247,272,293,459,306,147,2265,88,210,268,272,269,294,316,200,65,1992,56,253,394,358,365,374,252,106,55,2211,31,192,520,450,461,435,217,72,17,2398,5,89,326,320,382,321,101,19,14,1581,7,44,273,277,338,302,79,30,16,1363,0,12,172,180,233,175,72,25,10,883,0,13,174,336,414,305,66,21,10,1331,0,0,29,42,62,56,18,0,5,219,0,3,30,61,104,96,45,16,6,371,113,116,330,277,245,222,206,235,210,1948,0,6,10,6,0,11,0,3,0,40,1952,1510,3492,3452,3829,4055,3545,2343,1051,25220
UCL512002,82,71,151,157,147,250,545,413,166,1985,103,132,196,229,247,272,484,302,99,2062,64,175,221,248,281,310,297,177,54,1829,45,159,285,299,308,308,215,96,36,1755,13,142,327,365,433,356,198,75,17,1924,3,64,255,289,323,250,116,32,14,1358,3,21,191,240,294,201,80,32,17,1091,0,11,125,195,260,161,28,20,3,803,5,16,176,349,381,246,56,21,6,1246,0,0,35,76,100,64,20,3,0,294,0,4,34,106,122,82,28,17,8,400,86,51,170,157,165,207,212,200,182,1429,0,0,16,0,10,9,0,0,0,30,1554,1047,2581,3169,3457,3406,3529,2099,877,21726
UCL512003,87,112,175,185,191,267,525,399,166,2109,143,197,232,249,266,272,322,205,64,1945,107,230,308,268,290,277,248,122,38,1885,72,249,376,333,325,351,203,56,29,2000,26,189,442,399,430,399,177,52,15,2122,9,108,345,354,351,290,101,35,0,1593,8,81,350,301,369,288,85,29,17,1517,3,25,225,268,284,237,72,8,0,1119,3,35,310,507,560,376,107,18,7,1925,0,5,52,90,103,99,30,6,0,383,0,6,38,120,135,112,35,14,3,455,213,175,407,440,349,324,288,254,199,2657,0,4,9,0,7,8,3,5,5,43,2098,1795,3817,4029,4198,4174,3315,1902,776,26103
UCL512004,64,52,128,120,95,135,234,174,52,1051,80,124,204,165,127,143,170,84,37,1131,91,170,208,203,164,137,101,51,8,1137,96,208,273,223,226,198,76,21,3,1325,63,241,380,303,315,307,96,15,4,1723,42,189,367,320,290,225,79,9,0,1525,30,183,470,337,358,279,74,10,6,1742,0,120,419,355,331,252,56,5,0,1543,13,143,789,866,756,584,108,5,0,3268,0,18,235,296,244,141,21,0,0,959,3,12,157,258,233,169,27,4,0,870,169,267,677,576,501,497,325,98,33,3143,5,4,22,9,10,14,19,0,0,75,1600,2015,4949,4519,4023,3617,1934,690,199,23545
UCL513001,33,47,67,71,74,110,258,108,15,773,36,63,113,115,73,143,264,105,8,923,37,90,168,119,98,129,184,56,3,875,32,110,274,190,148,168,191,74,9,1190,19,107,318,244,231,261,201,47,0,1434,6,82,278,248,212,222,141,22,3,1219,0,33,313,299,206,210,133,17,0,1208,3,19,240,240,196,165,79,12,0,952,0,16,290,426,433,282,109,32,4,1594,0,6,46,86,93,74,38,10,0,356,0,4,55,149,151,134,91,55,0,647,145,182,556,435,455,482,348,157,29,2799,0,25,67,12,5,9,12,0,0,123,829,947,3059,2885,2594,2824,2687,882,111,16818
UCL513002,18,31,56,57,65,88,154,168,76,714,45,50,64,75,64,93,110,89,33,606,35,73,92,86,90,77,72,52,17,577,12,81,138,107,119,109,63,32,8,659,9,50,136,140,138,146,68,21,10,714,0,41,101,103,114,93,31,13,3,503,3,26,106,98,103,81,22,10,0,455,4,9,82,77,89,71,23,7,0,363,0,15,117,168,175,138,25,17,0,654,0,6,24,29,31,26,6,5,0,125,3,3,17,26,53,40,14,11,0,174,84,67,140,134,145,147,114,108,48,990,0,5,9,0,0,4,0,0,0,18,639,514,1242,1236,1303,1373,1086,741,257,8392
UCL513003,20,23,51,56,30,44,64,26,7,322,38,31,79,95,56,39,61,23,5,421,44,64,113,100,77,51,38,12,0,495,39,94,151,160,119,74,32,9,0,677,37,121,270,223,149,118,42,0,0,957,14,81,238,189,155,105,28,3,0,815,12,67,286,233,204,123,25,0,0,959,7,46,305,270,200,116,43,0,0,994,3,107,580,675,520,297,45,0,0,2220,0,23,192,246,192,116,27,0,0,794,0,23,269,489,339,189,34,3,0,1346,137,209,693,751,604,437,170,41,11,3052,0,8,27,16,9,19,11,3,0,94,913,986,3576,3799,2847,1889,797,187,22,15017
UCL513004,30,24,59,54,36,36,67,21,12,333,27,38,74,84,57,48,45,17,0,385,39,48,94,92,69,51,39,5,0,434,31,53,127,94,71,86,39,0,3,501,33,88,211,165,121,92,53,9,0,768,18,88,229,171,131,111,40,0,0,801,14,88,291,206,168,137,26,3,0,940,5,56,271,194,180,130,32,0,0,868,9,69,606,681,451,320,43,3,0,2187,0,13,269,269,166,110,12,0,0,836,3,10,207,363,275,188,28,0,0,1070,142,225,815,754,668,519,187,48,7,3363,0,3,12,18,9,7,8,0,0,56,790,926,3579,3418,2617,2116,813,196,34,14480
UCL513005,27,48,55,62,46,51,155,97,24,561,27,55,110,88,78,76,95,53,12,585,19,60,101,94,88,63,53,36,6,514,8,63,163,133,96,85,43,15,0,614,7,46,171,147,125,97,32,8,0,636,0,30,130,152,108,91,33,8,4,548,0,18,113,112,116,59,9,0,0,425,0,8,60,108,82,68,5,0,0,334,0,17,110,167,206,87,14,5,0,593,0,0,19,40,47,18,5,3,0,135,0,0,24,45,37,24,8,0,0,138,37,31,76,82,65,55,37,62,67,519,3,0,22,6,0,4,0,0,0,38,651,483,1401,1480,1327,1044,827,464,146,7818
UCL514001,10,24,56,43,48,100,183,118,46,619,25,25,67,67,62,68,78,33,13,437,17,41,54,62,54,66,76,28,7,415,6,40,72,56,54,49,47,20,0,346,6,32,60,73,57,77,47,10,0,354,4,21,47,53,63,53,21,8,0,275,0,18,48,50,43,53,8,0,0,219,0,18,46,46,50,39,9,0,0,208,0,12,80,108,125,80,8,0,0,411,0,7,16,18,24,14,5,0,0,83,0,0,10,11,15,18,0,4,0,54,50,21,67,82,67,61,69,64,50,538,0,0,0,0,0,0,0,0,0,3,398,338,788,801,860,966,926,480,163,5718
UCL514002,23,6,22,37,44,30,116,53,21,360,17,20,37,68,53,58,108,68,16,447,14,34,54,104,73,48,74,43,16,453,4,40,91,108,82,64,81,29,5,506,3,16,106,126,106,78,64,21,4,528,0,9,72,82,76,70,45,20,3,375,0,4,57,74,89,62,30,19,5,340,0,3,41,74,74,32,19,3,0,240,0,0,58,135,109,55,33,5,0,394,0,0,13,42,31,20,0,3,0,105,0,0,3,47,68,36,25,5,0,193,32,16,58,61,36,51,46,37,7,344,0,0,5,0,0,5,0,6,0,15,357,160,693,1068,925,745,851,429,97,5327
UCL514003,29,20,35,50,46,55,110,60,52,451,19,36,66,89,69,56,83,41,12,469,11,33,100,98,77,55,55,19,4,450,10,50,144,132,124,70,62,15,5,608,0,32,146,192,167,85,37,13,8,681,0,5,108,113,80,71,15,4,0,403,0,3,50,101,81,54,21,4,0,308,0,5,25,58,61,34,14,6,0,198,0,0,67,120,89,61,18,3,0,359,0,0,13,27,30,11,3,0,0,84,0,0,11,26,37,18,6,0,0,103,30,23,84,78,82,68,44,10,15,433,0,8,26,20,0,0,0,0,0,55,403,262,995,1256,1061,796,629,246,120,5775
UCL514004,19,14,44,50,51,66,125,102,54,523,27,29,58,46,40,74,90,42,16,421,16,38,42,46,53,42,47,38,14,343,8,43,68,49,70,72,29,6,3,359,10,47,80,88,82,93,50,5,0,456,4,21,78,52,67,51,20,4,0,301,0,20,50,40,53,46,21,5,0,239,0,8,26,55,39,44,13,0,0,188,0,4,49,68,89,84,21,5,0,317,0,0,6,14,17,21,3,0,0,53,0,5,8,9,20,19,9,5,0,64,48,44,85,83,101,81,83,60,54,635,0,0,0,6,6,0,0,4,0,6,432,339,715,711,798,903,794,437,188,5325
UCL515001,0,5,8,8,9,23,58,31,20,162,0,4,0,3,21,23,34,38,19,148,0,0,6,13,11,20,29,10,11,104,0,0,14,5,5,13,18,0,10,65,0,5,7,9,10,19,20,7,0,75,0,5,9,4,6,13,11,0,0,48,0,0,6,0,9,4,8,0,6,33,0,0,0,7,5,7,0,0,0,19,0,0,6,7,13,13,8,5,0,45,0,0,3,0,0,0,0,0,0,9,0,0,0,0,5,3,5,0,4,16,3,6,8,11,15,12,14,15,4,83,0,3,3,5,0,0,4,0,0,13,26,31,77,91,128,198,300,166,98,1117
UCL515002,3,5,0,5,9,14,32,9,0,67,0,10,9,18,7,13,18,3,3,85,0,5,7,5,11,5,15,6,0,55,3,11,8,8,17,17,5,3,0,72,0,4,19,16,9,9,9,0,0,67,0,8,16,9,23,13,0,0,0,62,0,0,11,19,18,14,3,0,0,69,0,0,8,10,14,12,0,0,0,41,0,0,16,31,29,21,7,0,0,111,0,0,4,7,6,6,0,0,0,29,0,0,0,6,10,3,0,0,0,18,6,0,12,19,7,4,0,0,0,44,0,0,0,0,0,0,0,0,0,0,59,49,126,165,167,192,164,49,10,976
UCL515003,8,0,5,15,19,35,69,48,19,217,7,6,14,11,16,31,59,20,6,168,4,5,10,15,26,31,30,16,4,144,3,9,13,20,36,28,29,9,4,147,6,5,21,16,33,31,20,0,0,126,0,7,10,12,17,17,8,0,0,67,0,3,14,8,22,16,4,6,3,78,0,4,11,17,21,9,7,0,0,65,0,0,18,23,33,21,8,0,0,101,0,0,0,0,6,7,0,0,0,14,0,0,0,3,4,7,3,0,0,22,8,6,16,13,29,20,30,12,11,155,0,0,0,0,0,0,0,0,0,5,119,71,177,196,280,360,414,191,75,1882
UCL515004,5,3,18,11,4,9,36,12,8,103,5,11,19,11,11,14,14,9,0,101,10,27,29,8,15,8,7,9,0,119,5,12,37,27,15,16,4,0,0,117,0,17,45,31,34,20,8,3,0,162,0,14,46,31,27,8,3,0,0,141,0,23,43,25,20,12,0,0,0,123,4,6,33,9,13,7,10,0,0,83,0,3,31,33,20,11,3,0,0,104,0,0,6,8,4,0,0,0,0,25,0,0,5,0,5,0,0,0,0,13,16,13,20,8,23,15,3,4,0,107,0,48,7,0,0,0,0,0,0,50,136,220,400,248,243,161,152,68,19,1639
UCL515005,6,6,13,13,16,21,52,29,11,162,5,12,19,21,17,15,28,16,3,132,5,15,24,19,25,19,24,14,4,149,5,13,23,34,29,22,6,4,0,145,4,15,39,45,44,14,12,6,0,170,0,6,17,33,25,31,10,0,0,124,0,9,16,22,18,18,7,0,0,91,0,3,3,11,35,14,0,0,0,68,0,3,25,16,38,26,0,0,0,108,0,0,0,3,3,3,0,0,0,15,0,0,0,0,3,3,0,0,0,6,20,8,3,10,18,12,12,10,6,99,0,0,0,0,0,0,0,0,0,0,150,102,215,287,330,271,265,127,36,1777
UCL515006,3,11,19,18,30,42,136,76,10,339,14,25,25,25,39,61,107,65,17,379,8,16,33,39,35,57,64,15,4,263,6,24,51,35,49,73,45,30,8,320,3,18,51,42,64,75,67,15,4,334,3,16,47,41,48,40,26,6,0,230,0,10,55,33,42,47,21,5,3,204,0,8,25,35,44,38,12,0,0,166,0,4,50,73,65,62,13,3,0,276,0,0,10,13,10,16,4,0,0,52,0,0,9,20,20,26,8,0,0,85,57,76,144,112,122,109,89,66,16,788,0,22,26,13,11,0,0,0,0,64,209,287,614,560,664,805,919,437,88,4577
UCL515007,8,5,13,16,15,14,15,6,0,89,6,4,10,30,14,21,16,8,3,114,3,7,15,34,18,19,12,3,0,104,0,10,16,24,35,21,11,7,5,115,0,4,12,49,43,26,3,3,0,138,0,0,12,34,26,15,3,0,0,87,0,0,10,36,19,10,3,0,0,86,0,0,10,20,24,4,0,0,0,64,0,0,17,61,29,22,7,0,0,137,0,0,3,12,9,0,0,0,0,29,0,0,5,10,4,3,0,0,0,25,10,5,21,38,26,11,7,4,0,119,0,0,6,0,0,0,0,0,0,9,85,41,179,425,300,198,118,46,20,1401
