POW_LGA_CODE_2021,CI_II_2000_2999_Mng,CI_II_2000_2999_Pro,CI_II_2000_2999_TecTW,CI_II_2000_2999_CoPSW,CI_II_2000_2999_ClAW,CI_II_2000_2999_SWks,CI_II_2000_2999_MaOpDv,CI_II_2000_2999_Lab,CI_II_2000_2999_IDNS,CI_II_2000_2999_Tot,CI_II_3000_3499_Mng,CI_II_3000_3499_Pro,CI_II_3000_3499_TecTW,CI_II_3000_3499_CoPSW,CI_II_3000_3499_ClAW,CI_II_3000_3499_SWks,CI_II_3000_3499_MaOpDv,CI_II_3000_3499_Lab,CI_II_3000_3499_IDNS,CI_II_3000_3499_Tot,CI_II_3500mo_Mng,CI_II_3500mo_Pro,CI_II_3500mo_TecTW,CI_II_3500mo_CoPSW,CI_II_3500mo_ClAW,CI_II_3500mo_SWks,CI_II_3500mo_MaOpDv,CI_II_3500mo_Lab,CI_II_3500mo_IDNS,CI_II_3500mo_Tot,CI_II_PINS_Mng,CI_II_PINS_Pro,CI_II_PINS_TecTW,CI_II_PINS_CoPSW,CI_II_PINS_ClAW,CI_II_PINS_SWks,CI_II_PINS_MaOpDv,CI_II_PINS_Lab,CI_II_PINS_IDNS,CI_II_PINS_Tot,CI_II_Tot_Mng,CI_II_Tot_Pro,CI_II_Tot_TecTW,CI_II_Tot_CoPSW,CI_II_Tot_ClAW,CI_II_Tot_SWks,CI_II_Tot_MaOpDv,CI_II_Tot_Lab,CI_II_Tot_IDNS,CI_II_Tot_Tot,LE_IDNS_NNI_Mng,LE_IDNS_NNI_Pro,LE_IDNS_NNI_TecTW,LE_IDNS_NNI_CoPSW,LE_IDNS_NNI_ClAW,LE_IDNS_NNI_SWks,LE_IDNS_NNI_MaOpDv,LE_IDNS_NNI_Lab,LE_IDNS_NNI_IDNS,LE_IDNS_NNI_Tot,LE_IDNS_1_149_Mng,LE_IDNS_1_149_Pro,LE_IDNS_1_149_TecTW,LE_IDNS_1_149_CoPSW,LE_IDNS_1_149_ClAW,LE_IDNS_1_149_SWks,LE_IDNS_1_149_MaOpDv,LE_IDNS_1_149_Lab,LE_IDNS_1_149_IDNS,LE_IDNS_1_149_Tot,LE_IDNS_150_299_Mng,LE_IDNS_150_299_Pro,LE_IDNS_150_299_TecTW,LE_IDNS_150_299_CoPSW,LE_IDNS_150_299_ClAW,LE_IDNS_150_299_SWks,LE_IDNS_150_299_MaOpDv,LE_IDNS_150_299_Lab,LE_IDNS_150_299_IDNS,LE_IDNS_150_299_Tot,LE_IDNS_300_399_Mng,LE_IDNS_300_399_Pro,LE_IDNS_300_399_TecTW,LE_IDNS_300_399_CoPSW,LE_IDNS_300_399_ClAW,LE_IDNS_300_399_SWks,LE_IDNS_300_399_MaOpDv,LE_IDNS_300_399_Lab,LE_IDNS_300_399_IDNS,LE_IDNS_300_399_Tot,LE_IDNS_400_499_Mng,LE_IDNS_400_499_Pro,LE_IDNS_400_499_TecTW,LE_IDNS_400_499_CoPSW,LE_IDNS_400_499_ClAW,LE_IDNS_400_499_SWks,LE_IDNS_400_499_MaOpDv,LE_IDNS_400_499_Lab,LE_IDNS_400_499_IDNS,LE_IDNS_400_499_Tot,LE_IDNS_500_649_Mng,LE_IDNS_500_649_Pro,LE_IDNS_500_649_TecTW,LE_IDNS_500_649_CoPSW,LE_IDNS_500_649_ClAW,LE_IDNS_500_649_SWks,LE_IDNS_500_649_MaOpDv,LE_IDNS_500_649_Lab,LE_IDNS_500_649_IDNS,LE_IDNS_500_649_Tot,LE_IDNS_650_799_Mng,LE_IDNS_650_799_Pro,LE_IDNS_650_799_TecTW,LE_IDNS_650_799_CoPSW,LE_IDNS_650_799_ClAW,LE_IDNS_650_799_SWks,LE_IDNS_650_799_MaOpDv,LE_IDNS_650_799_Lab,LE_IDNS_650_799_IDNS,LE_IDNS_650_799_Tot,LE_IDNS_800_999_Mng,LE_IDNS_800_999_Pro,LE_IDNS_800_999_TecTW,LE_IDNS_800_999_CoPSW,LE_IDNS_800_999_ClAW,LE_IDNS_800_999_SWks,LE_IDNS_800_999_MaOpDv,LE_IDNS_800_999_Lab,LE_IDNS_800_999_IDNS,LE_IDNS_800_999_Tot,LE_IDNS_1000_1249_Mng,LE_IDNS_1000_1249_Pro,LE_IDNS_1000_1249_TecTW,LE_IDNS_1000_1249_CoPSW,LE_IDNS_1000_1249_ClAW,LE_IDNS_1000_1249_SWks,LE_IDNS_1000_1249_MaOpDv,LE_IDNS_1000_1249_Lab,LE_IDNS_1000_1249_IDNS,LE_IDNS_1000_1249_Tot,LE_IDNS_1250_1499_Mng,LE_IDNS_1250_1499_Pro,LE_IDNS_1250_1499_TecTW,LE_IDNS_1250_1499_CoPSW,LE_IDNS_1250_1499_ClAW,LE_IDNS_1250_1499_SWks,LE_IDNS_1250_1499_MaOpDv,LE_IDNS_1250_1499_Lab,LE_IDNS_1250_1499_IDNS,LE_IDNS_1250_1499_Tot,LE_IDNS_1500_1749_Mng,LE_IDNS_1500_1749_Pro,LE_IDNS_1500_1749_TecTW,LE_IDNS_1500_1749_CoPSW,LE_IDNS_1500_1749_ClAW,LE_IDNS_1500_1749_SWks,LE_IDNS_1500_1749_MaOpDv,LE_IDNS_1500_1749_Lab,LE_IDNS_1500_1749_IDNS,LE_IDNS_1500_1749_Tot,LE_IDNS_1750_1999_Mng,LE_IDNS_1750_1999_Pro,LE_IDNS_1750_1999_TecTW,LE_IDNS_1750_1999_CoPSW,LE_IDNS_1750_1999_ClAW,LE_IDNS_1750_1999_SWks,LE_IDNS_1750_1999_MaOpDv,LE_IDNS_1750_1999_Lab,LE_IDNS_1750_1999_IDNS,LE_IDNS_1750_1999_Tot,LE_IDNS_2000_2999_Mng,LE_IDNS_2000_2999_Pro,LE_IDNS_2000_2999_TecTW,LE_IDNS_2000_2999_CoPSW,LE_IDNS_2000_2999_ClAW,LE_IDNS_2000_2999_SWks,LE_IDNS_2000_2999_MaOpDv,LE_IDNS_2000_2999_Lab,LE_IDNS_2000_2999_IDNS,LE_IDNS_2000_2999_Tot,LE_IDNS_3000_3499_Mng,LE_IDNS_3000_3499_Pro,LE_IDNS_3000_3499_TecTW,LE_IDNS_3000_3499_CoPSW,LE_IDNS_3000_3499_ClAW,LE_IDNS_3000_3499_SWks,LE_IDNS_3000_3499_MaOpDv,LE_IDNS_3000_3499_Lab,LE_IDNS_3000_3499_IDNS,LE_IDNS_3000_3499_Tot,LE_IDNS_3500mo_Mng,LE_IDNS_3500mo_Pro,LE_IDNS_3500mo_TecTW,LE_IDNS_3500mo_CoPSW,LE_IDNS_3500mo_ClAW,LE_IDNS_3500mo_SWks,LE_IDNS_3500mo_MaOpDv,LE_IDNS_3500mo_Lab,LE_IDNS_3500mo_IDNS,LE_IDNS_3500mo_Tot
LGA50080,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,27,15,46,78,81,98,29,60,8,446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,7,0,0,0,13,5,3,0,0,0,0,0,0,0,12,0,0,0,5,4,3,0,5,0,25,3,6,5,11,6,3,0,3,6,43,6,4,8,7,5,0,0,4,0,31,3,9,0,6,7,6,3,5,0,45,4,13,3,12,9,9,4,9,3,64,4,5,5,0,0,5,3,6,5,37,4,5,5,3,0,3,0,0,0,26,3,5,0,3,0,0,0,0,0,16,10,9,4,3,0,3,0,0,0,36,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8
LGA50210,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,25,8,52,78,63,130,26,75,4,466,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,0,13,0,0,0,0,7,0,4,3,0,11,0,0,3,5,0,0,0,8,3,22,0,0,0,3,3,4,0,9,3,30,0,0,12,12,9,5,3,9,4,41,4,0,12,17,11,13,3,4,3,66,5,4,8,13,6,9,3,6,4,61,3,8,9,8,12,4,11,9,4,75,0,8,7,0,7,0,4,5,8,36,8,11,4,0,4,0,0,0,3,32,0,6,0,4,4,0,3,0,0,23,9,17,3,0,0,0,0,0,0,36,0,4,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,0,4,20
LGA50250,4,0,14,4,3,0,43,32,3,99,0,0,4,0,0,0,12,0,4,18,0,0,3,0,0,0,0,3,0,12,0,0,0,0,0,0,0,0,0,0,5,7,29,13,10,7,81,71,4,236,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,6,0,12,0,0,4,4,0,0,9,0,0,16,0,3,3,0,4,0,11,5,0,25,0,4,0,3,0,0,20,9,0,33,0,6,7,0,3,0,11,8,4,36,4,6,14,4,0,0,40,14,3,76,0,7,6,0,0,0,6,0,0,25,9,4,17,0,0,0,6,4,6,35
LGA50280,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,22,20,19,21,0,28,0,130,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,3,0,3,0,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,10,8,0,0,0,5,0,0,0,0,13,0,0,7,3,0,0,0,9,0,25,5,0,4,5,4,5,0,4,3,24,12,3,6,0,3,0,0,9,0,30,0,0,3,0,3,0,4,4,0,22,0,3,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
LGA50350,0,4,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,19,11,20,10,18,31,0,119,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,0,4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,0,0,4,4,0,0,0,0,0,14,0,0,0,0,4,0,0,7,0,16,0,4,9,0,3,0,0,4,0,27,0,3,0,0,0,3,0,3,0,15,3,0,3,0,0,0,3,0,4,16,0,5,0,0,0,0,0,0,0,6,3,0,4,0,0,0,4,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50420,7,0,3,0,0,0,0,6,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,28,10,38,67,51,78,15,59,3,362,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,4,0,0,0,7,0,0,0,0,0,6,3,3,0,15,0,0,0,3,3,6,0,5,0,19,7,5,4,4,0,6,0,0,0,27,3,4,7,11,8,6,3,0,0,40,0,0,7,17,9,9,0,5,7,60,5,4,8,10,13,10,3,12,5,69,5,12,11,12,11,7,4,8,7,85,6,10,14,5,9,6,3,0,0,50,8,5,7,0,5,3,0,0,0,34,0,13,5,0,0,0,0,0,0,24,7,13,0,0,6,0,3,0,0,28,3,0,0,0,0,0,0,0,0,3,0,12,0,0,0,0,0,0,0,15
LGA50490,13,6,6,3,10,3,16,12,4,68,0,0,0,0,0,0,3,0,0,11,0,0,5,0,0,0,3,0,0,8,0,0,0,0,0,3,0,0,0,10,63,35,81,138,152,134,141,125,5,877,0,3,0,0,0,0,0,0,4,7,0,0,0,0,0,0,4,3,0,9,0,0,4,6,0,0,4,3,4,21,0,0,0,4,0,5,4,6,6,27,5,0,3,5,5,3,0,8,5,37,0,0,3,7,12,6,8,10,11,59,5,4,10,14,12,9,3,12,3,68,9,10,11,18,29,10,34,10,10,144,9,18,19,18,48,10,27,12,10,168,6,14,17,15,23,9,24,9,11,125,8,20,19,10,14,8,15,6,6,107,11,10,14,6,11,4,9,7,0,77,27,31,21,8,7,0,19,6,11,122,12,8,5,0,0,0,0,0,0,32,18,15,0,0,4,0,0,0,0,50
LGA50560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50630,0,0,3,0,0,0,10,0,0,13,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0,6,0,15,8,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,0,4,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3
LGA50770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,4,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50840,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,5,8,12,6,11,0,52,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,6,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50910,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA50980,5,3,0,0,5,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,9,41,47,19,7,23,3,178,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,7,0,0,0,0,0,3,5,0,0,9,0,0,0,0,0,5,0,0,0,5,0,0,4,0,0,5,0,3,0,10,0,4,0,4,3,0,3,0,0,18,4,3,0,3,5,3,0,11,0,31,3,11,5,8,9,4,0,11,3,49,0,5,0,4,8,3,0,0,0,29,5,7,0,7,5,0,0,0,0,25,0,0,0,4,0,0,0,0,0,12,5,6,0,3,3,0,0,0,0,21,4,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,10
LGA51080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA51190,5,3,0,0,0,0,5,4,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,29,85,93,135,122,46,108,3,659,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,8,0,0,0,3,0,0,0,3,4,15,0,0,0,4,0,4,0,8,0,20,3,4,0,5,5,0,3,9,3,30,0,4,5,14,3,4,0,13,0,48,0,6,4,24,9,9,3,6,0,66,6,5,12,10,14,8,5,8,10,76,9,18,10,8,13,5,5,9,6,75,0,8,12,9,6,4,5,0,0,45,3,10,10,0,0,5,15,6,0,47,6,16,3,6,0,0,0,0,6,36,5,15,3,3,8,0,0,0,0,38,0,3,0,0,0,0,0,0,0,9,7,14,0,0,0,0,0,0,3,23
LGA51260,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,27,12,36,67,56,85,19,85,3,386,4,0,0,0,0,0,0,0,0,3,0,0,0,4,0,9,0,0,0,22,0,0,0,8,0,3,0,0,3,24,0,3,0,3,4,0,0,0,0,11,0,0,6,3,0,4,0,8,4,23,4,7,0,11,10,8,0,9,6,48,8,5,4,14,5,9,4,9,0,57,11,0,9,11,8,8,4,3,4,53,10,0,3,8,5,6,0,6,0,46,8,4,4,5,3,6,0,3,0,35,0,3,4,5,5,0,3,0,0,20,5,5,0,0,0,0,0,0,0,18,5,7,0,5,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,5
LGA51310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,15,28,37,14,0,18,0,146,0,0,0,0,0,3,0,0,0,5,0,0,0,3,0,0,0,0,0,9,0,0,0,3,0,0,0,4,5,9,3,0,0,0,3,0,0,3,0,14,0,0,0,0,0,0,0,3,0,6,0,6,0,3,3,0,0,5,0,21,4,10,4,5,3,0,0,4,0,32,3,4,3,10,9,0,0,9,0,38,3,11,3,7,8,3,0,0,5,50,0,14,3,9,13,0,0,0,0,32,5,10,4,0,0,6,0,0,0,27,3,10,6,0,0,0,0,0,0,22,5,6,0,5,0,0,0,0,0,14,4,0,0,0,0,0,0,0,0,6,9,24,0,0,0,0,0,0,0,33
LGA51330,11,0,5,0,0,7,13,10,0,52,0,0,0,0,3,0,0,0,0,3,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,78,28,150,96,176,186,195,234,17,1171,0,0,0,0,0,5,0,0,5,14,0,0,0,5,3,7,0,3,6,20,0,0,0,9,5,11,0,12,6,43,3,4,3,12,0,4,3,15,0,48,6,5,7,6,8,15,8,13,4,68,0,4,0,13,9,9,6,14,6,70,3,7,22,24,21,21,23,25,9,160,8,8,22,22,27,8,28,17,13,157,21,17,34,18,28,13,52,31,13,218,19,13,36,10,32,14,24,15,6,182,28,13,21,6,18,11,13,8,7,122,19,33,14,4,8,0,9,4,9,92,17,28,25,6,6,5,10,6,7,101,11,0,5,0,0,0,0,3,0,23,17,3,0,0,4,5,0,0,4,31
LGA51400,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,16,17,9,11,5,29,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,11,0,0,0,0,0,4,0,3,0,8,0,0,4,0,0,0,0,5,0,14,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
